id,cost,understock_units,overstock_units,stockout_rate,demand,arm
FOODS_3_078_TX_1_evaluation,35.0,0.0,35.0,0.0,1.0,champion
FOODS_3_084_CA_1_evaluation,100.0,0.0,100.0,0.0,36.0,champion
FOODS_3_085_CA_1_evaluation,37.0,0.0,37.0,0.0,59.0,champion
FOODS_3_085_WI_1_evaluation,85.0,8.0,45.0,0.25,31.0,champion
FOODS_3_086_WI_1_evaluation,72.0,0.0,72.0,0.0,0.0,champion
FOODS_3_087_TX_1_evaluation,159.0,1.0,154.0,0.08333333333333333,251.0,champion
FOODS_3_094_WI_1_evaluation,66.0,0.0,66.0,0.0,90.0,champion
FOODS_3_096_TX_1_evaluation,38.0,0.0,38.0,0.0,38.0,champion
FOODS_3_104_WI_1_evaluation,47.0,6.0,17.0,0.3333333333333333,53.0,champion
FOODS_3_106_TX_1_evaluation,99.0,0.0,99.0,0.0,25.0,champion
FOODS_3_119_CA_1_evaluation,82.0,10.0,32.0,0.4166666666666667,114.0,champion
FOODS_3_119_TX_1_evaluation,48.0,6.0,18.0,0.25,48.0,champion
FOODS_3_128_TX_1_evaluation,52.0,0.0,52.0,0.0,0.0,champion
FOODS_3_132_TX_1_evaluation,109.0,0.0,109.0,0.0,47.0,champion
FOODS_3_135_TX_1_evaluation,518.0,6.0,488.0,0.08333333333333333,474.0,champion
FOODS_3_137_CA_1_evaluation,59.0,0.0,59.0,0.0,51.0,champion
FOODS_3_143_TX_1_evaluation,56.0,0.0,56.0,0.0,16.0,champion
FOODS_3_151_CA_1_evaluation,136.0,0.0,136.0,0.0,48.0,champion
FOODS_3_161_CA_1_evaluation,35.0,0.0,35.0,0.0,37.0,champion
FOODS_3_166_CA_1_evaluation,87.0,7.0,52.0,0.08333333333333333,99.0,champion
FOODS_3_166_TX_1_evaluation,46.0,0.0,46.0,0.0,62.0,champion
FOODS_3_172_WI_1_evaluation,26.0,0.0,26.0,0.0,86.0,champion
FOODS_3_188_TX_1_evaluation,29.0,2.0,19.0,0.16666666666666666,11.0,champion
FOODS_3_188_WI_1_evaluation,53.0,5.0,28.0,0.25,37.0,champion
