id,cost,understock_units,overstock_units,stockout_rate,demand,arm
FOODS_3_610_TX_1_evaluation,18.0,0.0,18.0,0.0,10.0,champion
FOODS_3_615_CA_1_evaluation,37.0,0.0,37.0,0.0,67.0,champion
FOODS_3_622_WI_1_evaluation,11.0,1.0,6.0,0.25,19.0,champion
FOODS_3_623_TX_1_evaluation,9.0,0.0,9.0,0.0,3.0,champion
FOODS_3_631_WI_1_evaluation,6.0,0.0,6.0,0.0,38.0,champion
FOODS_3_639_CA_1_evaluation,35.0,7.0,0.0,0.75,39.0,champion
FOODS_3_649_TX_1_evaluation,12.0,0.0,12.0,0.0,4.0,champion
FOODS_3_654_CA_1_evaluation,40.0,0.0,40.0,0.0,228.0,champion
FOODS_3_657_CA_1_evaluation,44.0,0.0,44.0,0.0,72.0,champion
FOODS_3_661_CA_1_evaluation,44.0,0.0,44.0,0.0,108.0,champion
FOODS_3_661_TX_1_evaluation,42.0,0.0,42.0,0.0,74.0,champion
FOODS_3_673_WI_1_evaluation,19.0,1.0,14.0,0.25,23.0,champion
FOODS_3_674_TX_1_evaluation,27.0,0.0,27.0,0.0,49.0,champion
FOODS_3_675_TX_1_evaluation,28.0,0.0,28.0,0.0,20.0,champion
FOODS_3_676_TX_1_evaluation,7.0,0.0,7.0,0.0,9.0,champion
FOODS_3_681_CA_1_evaluation,300.0,0.0,300.0,0.0,580.0,champion
FOODS_3_684_WI_1_evaluation,23.0,1.0,18.0,0.25,63.0,champion
FOODS_3_685_TX_1_evaluation,29.0,0.0,29.0,0.0,35.0,champion
FOODS_3_686_WI_1_evaluation,17.0,1.0,12.0,0.25,25.0,champion
FOODS_3_691_CA_1_evaluation,13.0,1.0,8.0,0.25,17.0,champion
FOODS_3_703_TX_1_evaluation,10.0,0.0,10.0,0.0,10.0,champion
FOODS_3_708_WI_1_evaluation,23.0,3.0,8.0,0.25,51.0,champion
FOODS_3_712_WI_1_evaluation,12.0,1.0,7.0,0.25,38.0,champion
FOODS_3_718_CA_1_evaluation,28.0,0.0,28.0,0.0,56.0,champion
FOODS_3_721_WI_1_evaluation,40.0,4.0,20.0,0.25,56.0,champion
FOODS_3_731_TX_1_evaluation,20.0,0.0,20.0,0.0,44.0,champion
FOODS_3_744_TX_1_evaluation,91.0,16.0,11.0,0.25,129.0,champion
FOODS_3_748_TX_1_evaluation,15.0,0.0,15.0,0.0,25.0,champion
FOODS_3_752_CA_1_evaluation,122.0,0.0,122.0,0.0,178.0,champion
FOODS_3_759_CA_1_evaluation,47.0,0.0,47.0,0.0,33.0,champion
FOODS_3_762_CA_1_evaluation,16.0,0.0,16.0,0.0,32.0,champion
FOODS_3_766_CA_1_evaluation,12.0,0.0,12.0,0.0,24.0,champion
FOODS_3_769_TX_1_evaluation,62.0,0.0,62.0,0.0,70.0,champion
FOODS_3_770_TX_1_evaluation,17.0,0.0,17.0,0.0,11.0,champion
FOODS_3_771_CA_1_evaluation,57.0,0.0,57.0,0.0,67.0,champion
FOODS_3_774_TX_1_evaluation,18.0,0.0,18.0,0.0,6.0,champion
FOODS_3_778_CA_1_evaluation,37.0,6.0,7.0,0.5,27.0,champion
FOODS_3_792_WI_1_evaluation,46.0,0.0,46.0,0.0,58.0,champion
FOODS_3_794_WI_1_evaluation,22.0,3.0,7.0,0.25,24.0,champion
FOODS_3_803_CA_1_evaluation,47.0,5.0,22.0,0.25,123.0,champion
