id,arm,total_cost
HOUSEHOLD_1_361_CA_1_evaluation,treatment,575.0
HOUSEHOLD_1_364_WI_1_evaluation,treatment,153.0
HOUSEHOLD_1_366_TX_1_evaluation,treatment,83.0
HOUSEHOLD_1_371_WI_1_evaluation,treatment,226.0
HOUSEHOLD_1_373_CA_1_evaluation,treatment,392.0
HOUSEHOLD_1_373_WI_1_evaluation,treatment,109.0
HOUSEHOLD_1_389_WI_1_evaluation,treatment,545.0
HOUSEHOLD_1_402_TX_1_evaluation,treatment,30.0
HOUSEHOLD_1_405_WI_1_evaluation,treatment,186.0
HOUSEHOLD_1_408_WI_1_evaluation,treatment,189.0
HOUSEHOLD_1_410_TX_1_evaluation,treatment,388.0
HOUSEHOLD_1_417_WI_1_evaluation,treatment,151.0
HOUSEHOLD_1_421_TX_1_evaluation,treatment,186.0
HOUSEHOLD_1_426_CA_1_evaluation,treatment,185.0
HOUSEHOLD_1_440_WI_1_evaluation,treatment,100.0
HOUSEHOLD_1_445_WI_1_evaluation,treatment,275.0
HOUSEHOLD_1_448_TX_1_evaluation,treatment,513.0
HOUSEHOLD_1_449_WI_1_evaluation,treatment,71.0
HOUSEHOLD_1_464_CA_1_evaluation,treatment,105.0
HOUSEHOLD_1_476_WI_1_evaluation,treatment,114.0
HOUSEHOLD_1_480_WI_1_evaluation,treatment,105.0
HOUSEHOLD_1_482_WI_1_evaluation,treatment,158.0
HOUSEHOLD_1_483_CA_1_evaluation,treatment,81.0
HOUSEHOLD_1_486_TX_1_evaluation,treatment,127.0
HOUSEHOLD_1_492_TX_1_evaluation,treatment,131.0
HOUSEHOLD_1_513_TX_1_evaluation,treatment,181.0
HOUSEHOLD_1_518_WI_1_evaluation,treatment,128.0
HOUSEHOLD_1_519_WI_1_evaluation,treatment,84.0
HOUSEHOLD_1_521_WI_1_evaluation,treatment,638.0
HOUSEHOLD_1_522_TX_1_evaluation,treatment,126.0
HOUSEHOLD_1_526_TX_1_evaluation,treatment,201.0
HOUSEHOLD_1_541_WI_1_evaluation,treatment,177.0
HOUSEHOLD_2_005_WI_1_evaluation,treatment,30.0
HOUSEHOLD_2_019_CA_1_evaluation,treatment,49.0
HOUSEHOLD_2_042_TX_1_evaluation,treatment,30.0
HOUSEHOLD_2_046_WI_1_evaluation,treatment,90.0
HOUSEHOLD_2_047_CA_1_evaluation,treatment,175.0
HOUSEHOLD_2_050_CA_1_evaluation,treatment,131.0
HOUSEHOLD_2_052_TX_1_evaluation,treatment,100.0
HOUSEHOLD_2_060_WI_1_evaluation,treatment,30.0
HOUSEHOLD_2_079_CA_1_evaluation,treatment,83.0
HOUSEHOLD_2_083_CA_1_evaluation,treatment,99.0
HOUSEHOLD_2_084_TX_1_evaluation,treatment,90.0
HOUSEHOLD_2_096_CA_1_evaluation,treatment,119.0
HOUSEHOLD_2_103_TX_1_evaluation,treatment,0.0
